# Multipolar energies (kT/lB)
#        R     exact       tot        ii        id        dd        iq    mucorr
   47.2500   -5.5265   -4.1615   -3.2542   -0.4357   -0.0553   -0.4163   -0.3770
   47.5000   -9.3310   -9.4017   -5.2919   -2.1837   -0.5843   -1.3418   -0.1030
   47.7500   -7.7037   -8.0975   -4.3687   -2.2187   -0.6091   -0.9010    0.5020
   48.0000   -7.6750   -6.7906   -4.7927   -1.1316   -0.1046   -0.7617   -0.0347
   48.2500   -7.6982   -7.6904   -4.4484   -1.9193   -0.4771   -0.8456    0.3622
   48.5000   -8.0952   -8.1861   -4.6649   -2.1296   -0.4804   -0.9111    0.6908
   48.7500   -8.3433   -8.5646   -4.8744   -2.1975   -0.5025   -0.9902    0.6714
   49.0000   -8.3012   -8.0669   -4.5481   -1.9202   -0.4768   -1.1219    0.2982
   49.2500   -7.9182   -7.5649   -4.2063   -1.7996   -0.4316   -1.1275    0.4773
   49.5000   -8.7406   -8.2974   -4.6777   -1.8970   -0.4682   -1.2544    0.1787
   49.7500   -8.3549   -7.9524   -4.6315   -1.7022   -0.3384   -1.2803    0.2467
   50.0000   -8.7296   -8.3411   -4.8381   -1.8406   -0.4051   -1.2573    0.3280
   50.2500   -8.4249   -7.9610   -4.5538   -1.7652   -0.4035   -1.2385    0.2773
   50.5000   -8.5107   -7.8219   -4.5091   -1.7111   -0.3880   -1.2138    0.2554
   50.7500   -8.4746   -7.8474   -4.5052   -1.7825   -0.4188   -1.1410    0.3029
   51.0000   -8.0801   -7.4097   -4.2392   -1.6727   -0.3940   -1.1039    0.2835
   51.2500   -8.5739   -7.9138   -4.5393   -1.7898   -0.3947   -1.1900    0.3757
   51.5000   -8.1829   -7.4299   -4.2751   -1.6557   -0.3615   -1.1376    0.3568
   51.7500   -8.4452   -7.6735   -4.4266   -1.7107   -0.3683   -1.1679    0.3650
   52.0000   -8.2180   -7.3451   -4.2214   -1.6681   -0.3647   -1.0908    0.4009
   52.2500   -8.4823   -7.6334   -4.3777   -1.7368   -0.3806   -1.1384    0.4226
   52.5000   -8.2094   -7.3631   -4.2148   -1.6811   -0.3620   -1.1052    0.4645
   52.7500   -8.2920   -7.4263   -4.2448   -1.7054   -0.3671   -1.1090    0.4767
   53.0000   -8.2541   -7.3698   -4.2225   -1.6876   -0.3603   -1.0993    0.4733
   53.2500   -8.2480   -7.3033   -4.1826   -1.6521   -0.3521   -1.1164    0.4722
   53.5000   -8.2684   -7.3044   -4.1623   -1.6766   -0.3578   -1.1078    0.4989
   53.7500   -8.1100   -7.1292   -4.0664   -1.6263   -0.3432   -1.0932    0.4769
   54.0000   -8.2071   -7.2054   -4.1017   -1.6514   -0.3455   -1.1068    0.5212
   54.2500   -8.1588   -7.1260   -4.0690   -1.6234   -0.3406   -1.0930    0.5050
   54.5000   -8.1098   -7.0506   -4.0265   -1.6099   -0.3306   -1.0836    0.5196
   54.7500   -8.1523   -7.0690   -4.0393   -1.6084   -0.3250   -1.0964    0.5441
   55.0000   -8.1167   -6.9936   -3.9977   -1.5925   -0.3204   -1.0831    0.5545
   55.2500   -8.1403   -6.9980   -4.0176   -1.5799   -0.3132   -1.0874    0.5452
   55.5000   -8.1279   -6.9580   -3.9948   -1.5746   -0.3099   -1.0787    0.5639
   55.7500   -8.0510   -6.8756   -3.9554   -1.5535   -0.3020   -1.0647    0.5617
   56.0000   -8.0554   -6.8459   -3.9589   -1.5292   -0.2903   -1.0675    0.5421
   56.2500   -8.0032   -6.7877   -3.9266   -1.5171   -0.2886   -1.0555    0.5504
   56.5000   -7.9476   -6.7133   -3.9042   -1.4879   -0.2771   -1.0441    0.5333
   56.7500   -7.8559   -6.6244   -3.8531   -1.4805   -0.2747   -1.0161    0.5608
   57.0000   -7.7939   -6.5502   -3.8403   -1.4470   -0.2595   -1.0035    0.5387
   57.2500   -7.7332   -6.4903   -3.8149   -1.4284   -0.2519   -0.9951    0.5342
   57.5000   -7.6916   -6.4395   -3.7960   -1.4145   -0.2476   -0.9814    0.5310
   57.7500   -7.5826   -6.3190   -3.7446   -1.3816   -0.2369   -0.9559    0.5254
   58.0000   -7.5514   -6.2831   -3.7474   -1.3571   -0.2256   -0.9529    0.5066
   58.2500   -7.5034   -6.2230   -3.7227   -1.3374   -0.2178   -0.9450    0.4944
   58.5000   -7.4277   -6.1386   -3.6806   -1.3164   -0.2136   -0.9280    0.4951
   58.7500   -7.3871   -6.0919   -3.6662   -1.2953   -0.2071   -0.9234    0.4808
   59.0000   -7.3634   -6.0446   -3.6609   -1.2749   -0.1935   -0.9153    0.4750
   59.2500   -7.2815   -5.9650   -3.6251   -1.2449   -0.1886   -0.9063    0.4502
   59.5000   -7.1716   -5.8644   -3.5706   -1.2229   -0.1836   -0.8873    0.4539
